Source,Target,Y2009
96,142,37635.0
32,78,37578.0
56,123,37395.0
41,107,37306.0
21,165,37250.0
151,137,37060.0
56,101,37000.0
57,125,37000.0
59,79,36744.0
114,122,36684.0
142,84,36501.0
127,71,36322.0
122,56,36218.0
147,21,36116.0
143,148,36000.0
62,4,35881.0
29,48,35862.0
110,96,35731.0
44,107,35396.0
107,147,35211.0
77,33,35127.0
32,62,35000.0
114,57,34832.0
7,6,34514.0
79,38,34476.0
53,162,34437.0
96,101,34432.0
88,57,34406.0
147,138,34304.0
34,120,34294.0
20,38,34293.0
74,64,34158.0
142,125,34083.0
160,79,34028.0
128,147,34000.0
74,57,34000.0
79,133,34000.0
128,158,33911.0
33,113,33448.0
120,101,33173.0
79,2,33057.0
79,49,33000.0
32,73,33000.0
7,33,33000.0
79,41,33000.0
162,114,32983.0
7,160,32907.0
29,121,32870.0
29,78,32815.0
7,78,32613.0
114,143,32554.0
157,76,32523.0
147,116,32513.0
41,128,32369.0
164,155,32300.0
44,114,32094.0
21,148,32000.0
56,41,32000.0
32,29,32000.0
88,128,31930.0
157,61,31896.0
49,162,31848.0
118,73,31726.0
21,47,31656.0
44,162,31619.0
125,151,31598.0
33,34,31534.0
33,89,31502.0
21,48,31435.0
122,157,31256.0
6,74,31241.0
74,144,31218.0
128,78,31132.0
33,77,31132.0
125,142,31106.0
14,96,31087.0
32,6,31065.0
94,33,31022.0
143,49,31000.0
143,7,31000.0
56,151,31000.0
128,41,31000.0
4,164,30854.0
33,64,30853.0
21,123,30792.0
151,116,30695.0
77,57,30678.0
128,127,30672.0
164,113,30584.0
53,57,30571.0
21,19,30449.0
82,133,30422.0
74,110,30366.0
133,103,30305.0
93,128,30289.0
41,164,30226.0
110,151,30171.0
143,156,30043.0
29,110,30036.0
107,133,30008.0
123,103,30008.0
14,41,30000.0
137,125,29994.0
169,125,29873.0
62,103,29747.0
56,32,29742.0
53,33,29696.0
151,81,29673.0
21,113,29639.0
93,79,29637.0
151,73,29494.0
161,73,29488.0
74,2,29449.0
164,9,29320.0
79,6,29261.0
142,163,29258.0
143,78,29150.0
96,75,29104.0
125,133,29083.0
14,148,29000.0
57,147,29000.0
62,116,28998.0
96,14,28989.0
142,73,28976.0
123,122,28949.0
81,110,28926.0
96,144,28884.0
57,64,28853.0
125,121,28763.0
33,124,28700.0
79,21,28684.0
29,137,28592.0
56,77,28584.0
21,142,28555.0
20,62,28526.0
163,84,28517.0
162,6,28317.0
33,149,28202.0
57,128,28127.0
96,62,28080.0
138,160,28064.0
147,127,28044.0
32,151,28000.0
128,133,28000.0
56,74,28000.0
128,89,27773.0
122,114,27738.0
148,33,27703.0
33,110,27567.0
33,2,27526.0
33,160,27518.0
88,81,27354.0
162,49,27312.0
160,127,27288.0
6,142,27255.0
157,8,27180.0
29,77,27072.0
77,62,27063.0
57,21,27025.0
7,147,27000.0
147,29,27000.0
74,107,27000.0
21,147,27000.0
162,56,26939.0
143,75,26905.0
73,113,26706.0
41,160,26649.0
127,161,26630.0
62,2,26630.0
164,77,26520.0
107,93,26462.0
14,6,26391.0
74,115,26325.0
93,143,26223.0
33,91,26201.0
157,23,26188.0
64,1,26151.0
56,4,26089.0
41,148,26071.0
21,74,26000.0
151,149,25949.0
147,121,25799.0
29,120,25774.0
56,92,25694.0
142,79,25488.0
38,20,25488.0
147,82,25455.0
142,171,25428.0
164,128,25422.0
7,142,25402.0
20,79,25398.0
137,33,25375.0
104,33,25326.0
139,71,25241.0
127,23,25192.0
157,64,25162.0
128,71,25151.0
71,162,25076.0
41,6,25025.0
74,162,25000.0
128,92,24952.0
92,122,24900.0
6,73,24755.0
143,4,24621.0
64,79,24536.0
147,53,24519.0
162,157,24501.0
79,161,24458.0
62,149,24425.0
62,88,24381.0
44,14,24350.0
62,82,24347.0
162,44,24308.0
142,107,24122.0
147,91,24064.0
56,161,24063.0
29,161,24015.0
33,122,24000.0
164,148,24000.0
14,101,24000.0
14,2,23959.0
137,121,23855.0
21,155,23776.0
57,6,23739.0
127,82,23678.0
92,147,23671.0
93,122,23669.0
13,62,23659.0
7,123,23651.0
164,2,23623.0
29,2,23621.0
29,155,23596.0
125,128,23553.0
6,137,23550.0
122,88,23496.0
48,34,23477.0
4,165,23447.0
127,156,23430.0
41,64,23419.0
142,172,23339.0
7,23,23336.0
33,120,23334.0
164,110,23275.0
143,21,23174.0
122,148,23053.0
138,139,23048.0
7,73,23000.0
74,143,23000.0
139,57,22977.0
165,162,22965.0
164,103,22941.0
157,78,22933.0
113,57,22930.0
41,143,22922.0
162,93,22879.0
92,88,22804.0
57,71,22747.0
128,64,22728.0
53,79,22647.0
165,148,22628.0
123,33,22583.0
38,7,22546.0
107,74,22518.0
123,147,22396.0
57,77,22328.0
137,11,22313.0
137,73,22158.0
33,85,22152.0
162,96,22133.0
107,6,22105.0
79,23,22074.0
147,75,22009.0
62,53,22004.0
107,114,22001.0
79,89,21973.0
33,11,21956.0
107,161,21836.0
107,77,21721.0
62,89,21701.0
74,89,21691.0
162,160,21677.0
33,127,21674.0
139,133,21667.0
143,161,21632.0
4,120,21609.0
121,33,21537.0
139,20,21488.0
96,149,21487.0
143,89,21357.0
125,79,21244.0
79,103,21243.0
142,14,21162.0
120,33,21138.0
122,23,21048.0
79,101,21000.0
14,74,21000.0
79,142,20920.0
37,134,20900.0
71,38,20890.0
139,127,20883.0
33,4,20878.0
148,157,20867.0
57,127,20782.0
21,75,20712.0
162,123,20710.0
62,168,20704.0
107,64,20585.0
127,143,20555.0
56,34,20528.0
23,79,20439.0
6,113,20404.0
4,142,20343.0
62,13,20334.0
48,120,20331.0
121,169,20323.0
53,122,20316.0
44,143,20272.0
62,156,20183.0
14,123,20181.0
160,13,20174.0
142,104,20115.0
125,49,20077.0
14,133,20000.0
79,125,20000.0
57,133,20000.0
143,73,20000.0
74,101,20000.0
147,101,20000.0
137,81,19990.0
114,7,19883.0
32,161,19870.0
125,74,19828.0
164,75,19786.0
125,29,19785.0
139,64,19777.0
62,85,19756.0
57,56,19739.0
160,83,19729.0
14,77,19726.0
56,89,19647.0
139,157,19622.0
147,113,19597.0
160,126,19590.0
64,23,19570.0
7,20,19519.0
74,54,19470.0
147,92,19399.0
103,157,19370.0
14,103,19274.0
29,65,19268.0
38,62,19246.0
79,20,19218.0
125,110,19193.0
64,40,19178.0
81,162,19170.0
147,88,19116.0
164,82,19077.0
33,3,19073.0
151,75,19049.0
128,23,19044.0
143,147,19000.0
21,133,19000.0
79,29,19000.0
57,142,18963.0
21,137,18902.0
41,127,18892.0
157,160,18868.0
88,14,18867.0
28,57,18842.0
92,128,18824.0
122,83,18788.0
41,81,18747.0
37,57,18712.0
142,164,18692.0
81,73,18596.0
151,121,18550.0
101,36,18528.0
79,1,18521.0
123,148,18517.0
139,156,18514.0
165,164,18474.0
29,116,18448.0
21,96,18435.0
32,36,18410.0
107,125,18323.0
59,107,18245.0
92,160,18157.0
127,160,18155.0
147,40,18124.0
59,103,18059.0
139,148,18017.0
92,107,18017.0
14,49,18000.0
65,50,17943.0
56,138,17939.0
142,7,17850.0
127,57,17783.0
53,107,17776.0
21,161,17772.0
53,88,17764.0
32,65,17738.0
138,107,17732.0
33,168,17639.0
14,21,17634.0
110,116,17609.0
7,161,17599.0
96,116,17550.0
32,137,17528.0
21,80,17457.0
107,138,17454.0
164,156,17418.0
107,49,17417.0
88,49,17391.0
139,49,17354.0
144,73,17293.0
14,75,17258.0
110,161,17187.0
139,122,17155.0
142,6,17153.0
37,143,17131.0
128,44,17000.0
33,147,17000.0
29,123,16967.0
139,107,16921.0
151,11,16907.0
151,164,16887.0
128,169,16803.0
78,157,16800.0
123,3,16790.0
138,147,16742.0
107,123,16728.0
123,156,16725.0
143,77,16717.0
49,145,16613.0
33,145,16613.0
118,125,16605.0
107,71,16572.0
159,25,16528.0
165,4,16491.0
73,133,16438.0
23,127,16370.0
62,40,16351.0
62,110,16338.0
157,5,16287.0
162,121,16278.0
96,85,16200.0
7,96,16169.0
14,161,16163.0
169,164,16146.0
116,0,16129.0
138,23,16126.0
147,139,16125.0
56,83,16105.0
57,78,16070.0
56,127,16068.0
40,64,16064.0
107,151,16059.0
79,40,16037.0
107,96,16035.0
143,41,16000.0
57,49,16000.0
56,44,16000.0
107,78,15981.0
16,113,15937.0
33,32,15935.0
77,147,15918.0
127,103,15897.0
56,88,15895.0
123,78,15886.0
63,164,15856.0
7,32,15854.0
71,139,15840.0
81,79,15836.0
148,127,15830.0
79,91,15821.0
41,147,15818.0
14,114,15810.0
33,114,15800.0
73,11,15773.0
43,57,15759.0
62,20,15747.0
33,83,15725.0
107,142,15690.0
162,113,15678.0
164,69,15665.0
143,32,15660.0
6,121,15616.0
88,79,15585.0
143,34,15575.0
56,169,15564.0
119,143,15558.0
147,149,15550.0
105,96,15489.0
142,110,15472.0
28,157,15452.0
35,57,15386.0
62,11,15376.0
73,162,15350.0
77,107,15343.0
96,79,15311.0
82,76,15300.0
160,92,15253.0
79,93,15251.0
121,73,15234.0
120,48,15176.0
33,84,15164.0
88,114,15159.0
44,7,15109.0
38,71,15087.0
151,27,15071.0
62,120,15062.0
125,116,15057.0
148,41,15031.0
110,133,15028.0
157,91,15016.0
32,147,15000.0
62,44,15000.0
