Id,Label,source,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,eigencentrality
89,Lebanon,Lebanon,49,11,60,3,0.461972,0.494919,18.906661,1,0.008924,0.590846,0.627775
159,Uganda,Uganda,25,4,29,4,0.348195,0.364329,11.221814,2,0.006544,0.718462,0.356201
10,Bahrain,Bahrain,32,2,34,3,0.411028,0.431911,0,2,0.005321,0.826613,0.457999
97,Mali,Mali,4,1,5,3,0.480938,0.488821,0,2,0.001769,0.85,0.053356
117,Panama,Panama,20,5,25,3,0.489552,0.503049,0.810038,3,0.00443,0.811688,0.275264
126,Republic of Moldova,Republic of Moldova,17,4,21,3,0.438503,0.461382,0.063895,1,0.002789,0.952206,0.224069
3,Angola,Angola,21,3,24,3,0.485207,0.495935,1.87186,2,0.004887,0.819048,0.330255
98,Malta,Malta,22,3,25,3,0.454294,0.472561,1.729059,1,0.003996,0.82971,0.324007
104,Mozambique,Mozambique,11,6,17,3,0.495468,0.509146,18.388443,2,0.004563,0.77619,0.17258
141,Somalia,Somalia,11,0,11,0,0,0,0,2,0.004951,0.745455,0.17291
80,Jamaica,Jamaica,13,0,13,0,0,0,0,3,0.002916,0.955128,0.207044
91,Libya,Libya,17,2,19,3,0.442049,0.460366,1.377503,2,0.004797,0.797386,0.254289
1,Albania,Albania,23,2,25,3,0.428198,0.448171,0,1,0.003975,0.887352,0.330198
155,Trinidad and Tobago,Trinidad and Tobago,15,2,17,3,0.40796,0.428862,3.080531,3,0.003123,0.786765,0.222919
9,Bahamas,Bahamas,3,0,3,0,0,0,0,3,0.001499,1,0.046423
5,Armenia,Armenia,14,0,14,0,0,0,0,1,0.00412,0.807692,0.183358
149,Syrian Arab Republic,Syrian Arab Republic,25,0,25,0,0,0,0,2,0.005442,0.838333,0.381024
111,Nicaragua,Nicaragua,15,6,21,3,0.491018,0.506098,0.336601,3,0.004502,0.775735,0.204651
45,Djibouti,Djibouti,10,2,12,3,0.41206,0.432927,0,2,0.003323,0.890909,0.168526
158,Turkmenistan,Turkmenistan,6,0,6,0,0,0,0,2,0.002125,0.866667,0.098216
43,Democratic Republic of the Congo,Democratic Republic of the Congo,10,11,21,3,0.509317,0.528455,98.007087,2,0.004388,0.772059,0.155073
18,Bhutan,Bhutan,1,1,2,3,0.404938,0.42378,0,2,0.001679,0,0.022041
100,Mauritius,Mauritius,20,2,22,3,0.405941,0.426829,6.319338,2,0.005874,0.709524,0.281822
168,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),13,11,24,3,0.506173,0.526423,1.974318,3,0.003195,0.784211,0.189602
163,United Republic of Tanzania,United Republic of Tanzania,27,7,34,3,0.5,0.514228,89.438234,2,0.008654,0.644089,0.372758
40,Cyprus,Cyprus,35,10,45,3,0.485207,0.510163,6.424843,1,0.006685,0.774538,0.483736
39,Cuba,Cuba,16,6,22,3,0.464589,0.486789,2.570927,3,0.00344,0.79085,0.219567
60,Gambia,Gambia,5,1,6,3,0.479532,0.487805,0,0,0.004042,0.8,0.074546
37,C̫te d'Ivoire,C̫te d'Ivoire,28,32,60,3,0.550336,0.595528,127.304326,0,0.006483,0.581395,0.408978
134,Senegal,Senegal,29,2,31,3,0.480938,0.490854,10.934603,0,0.005341,0.758621,0.404605
102,Mongolia,Mongolia,8,0,8,0,0,0,0,2,0.002126,0.910714,0.117844
69,Haiti,Haiti,8,0,8,0,0,0,0,3,0.002659,0.946429,0.130835
95,Malawi,Malawi,3,5,8,3,0.384075,0.409553,0,2,0.002098,0.619048,0.059594
54,Ethiopia,Ethiopia,18,0,18,0,0,0,0,2,0.004147,0.859477,0.285942
55,Fiji,Fiji,9,4,13,3,0.493976,0.504065,0.63264,2,0.002737,0.881818,0.140837
72,Iceland,Iceland,18,2,20,3,0.443243,0.461382,0,1,0.002731,0.967836,0.243293
153,Togo,Togo,11,1,12,4,0.289242,0.29878,1.751496,0,0.002779,0.787879,0.16891
24,Burkina Faso,Burkina Faso,10,0,10,0,0,0,0,0,0.002751,0.866667,0.148065
129,Rwanda,Rwanda,6,0,6,0,0,0,0,2,0.00548,0.7,0.079245
131,Samoa,Samoa,3,0,3,0,0,0,0,2,0.001741,1,0.048896
94,Madagascar,Madagascar,11,2,13,3,0.41206,0.432927,0.098925,2,0.002971,0.833333,0.17993
67,Guinea-Bissau,Guinea-Bissau,0,1,1,3,0.479651,0.487879,0,2,0.001241,0,0
112,Niger,Niger,2,0,2,0,0,0,0,0,0.001573,0,0.020005
26,Cabo Verde,Cabo Verde,4,0,4,0,0,0,0,0,0.001625,0.916667,0.052725
12,Barbados,Barbados,6,0,6,0,0,0,0,3,0.003147,0.833333,0.081929
109,New Caledonia,New Caledonia,9,0,9,0,0,0,0,2,0.002328,0.958333,0.140157
58,French Polynesia,French Polynesia,6,0,6,0,0,0,0,2,0.00202,1,0.097812
99,Mauritania,Mauritania,8,0,8,0,0,0,0,2,0.003026,0.803571,0.116418
22,Brunei Darussalam,Brunei Darussalam,5,0,5,0,0,0,0,2,0.001917,1,0.07844
17,Benin,Benin,5,1,6,3,0.404938,0.42378,163,0,0.00455,0.75,0.07477
154,Tonga,Tonga,1,0,1,0,0,0,0,2,0.001375,0,0.011096
46,Dominica,Dominica,7,0,7,0,0,0,0,3,0.002181,0.785714,0.093924
167,Vanuatu,Vanuatu,2,1,3,3,0.479532,0.487805,0,2,0.001636,1,0.033833
68,Guyana,Guyana,6,8,14,3,0.49848,0.515244,5.723503,3,0.001912,0.554545,0.094779
16,Belize,Belize,5,2,7,3,0.465909,0.479675,0.728968,3,0.002073,0.6,0.049969
130,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2,0,2,0,0,0,0,3,0.001411,1,0.029585
152,Timor-Leste,Timor-Leste,2,0,2,0,0,0,0,2,0.001591,1,0.03801
66,Guinea,Guinea,3,2,5,3,0.480938,0.490854,0,2,0.001695,0.833333,0.053073
25,Burundi,Burundi,2,0,2,0,0,0,0,2,0.002343,0.5,0.02712
52,Eritrea,Eritrea,1,0,1,0,0,0,0,2,0.001468,0,0.018215
